"행정구역분류 총괄표",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010.4.1","행정구역명","2010.1.1","행정구역명","2009.10.1","행정구역명","2009.7.1","행정구역명","2009.4.1","행정구역명","2009.1.1","행정구역명","2008.10.1","행정구역명","2008.7.1","행정구역명","2008.4.1","행정구역명","2008.1.1","행정구역명","2007.10.1","행정구역명","2007.7.1","행정구역명","2007.4.1","행정구역명","2007.1.1","행정구역명","2006.10.1","행정구역명","2006.7.1","행정구역명","2006.4.1","행정구역명","2006.1.1","행정구역명","2005.10.1","행정구역명","2005.7.1","행정구역명","2005.4.1","행정구역명","2005.1.1","행정구역명","2004.10.1","행정구역명","2004.7.1","행정구역명","2004.4.1","행정구역명","2004.1.1","행정구역명","2003.10.1","행정구역명","2003.7.1","행정구역명","2003.4.1","행정구역명","2003.1.1","행정구역명",,"2002.12.31","행정구역명","2002.10.1","행정구역명","2002.7.1","행정구역명","2002.4.1","행정구역명","2002.1.1","행정구역명",,"2001.1. 1","행정구역명",,"2000.1. 1","행정구역명",,"99. 1. 1","행정구역명"
1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",,1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",1101060,"가회동",,1101060,"가회동",,1101060,"가회동",,1101060,"가회동"
1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",,1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",1101061,"종로1·2·3·4가동",,1101061,"종로1·2·3·4가동",,1101061,"종로1·2·3·4가동",,1101061,"종로1·2·3·4가동"
1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",,1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",1101063,"종로5·6가동",,1101063,"종로5·6가동",,1101063,"종로5·6가동",,1101063,"종로5·6가동"
1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",,1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",1101064,"이화동",,1101064,"이화동",,1101064,"이화동",,1101064,"이화동"
1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",,1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",1101065,"혜화동",,1101065,"혜화동",,1101065,"혜화동",,1101065,"혜화동"
1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",,1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",1101066,"명륜3가동",,1101066,"명륜3가동",,1101066,"명륜3가동",,1101066,"명륜3가동"
1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",,1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",1101067,"창신1동",,1101067,"창신1동",,1101067,"창신1동",,1101067,"창신1동"
1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",,1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",1101068,"창신2동",,1101068,"창신2동",,1101068,"창신2동",,1101068,"창신2동"
1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",,1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",1101069,"창신3동",,1101069,"창신3동",,1101069,"창신3동",,1101069,"창신3동"
1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",,1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",1101070,"숭인1동",,1101070,"숭인1동",,1101070,"숭인1동",,1101070,"숭인1동"
