,,,,,,,"전국 행정구역 현황",,,,,,,,,,
,"    (2010. 4. 1 현재)",,,,,,,,,,,,,,,,
,,"계",,"시",,"군",,"구",,"계",,"읍",,"면",,"동",
,,"2010년","2009년","2010년","2009년","2010년","2009년","2010년","2009년","2010년","2009년","2010년","2009년","2010년","2009년","2010년","2009년"
,"22 대구광역시",8,8,0,0,1,1,7,7,143,143,3,3,6,6,134,134
,"23 인천광역시",10,10,0,0,2,2,8,8,141,140,1,1,19,19,121,120
,"24 광주광역시",5,5,0,0,0,0,5,5,92,91,0,0,0,0,92,91
,"25 대전광역시",5,5,0,0,0,0,5,5,76,76,0,0,0,0,76,76
,"26 울산광역시",5,5,0,0,1,1,4,4,56,56,4,4,8,8,44,44
,"도계",156,156,77,77,81,81,28,28,2317,2317,203,202,1158,1159,956,956
,"31 경기도",31,31,27,27,4,4,20,20,535,535,32,31,107,108,396,396
,"32 강원도",18,18,7,7,11,11,0,0,187,187,24,24,89,89,74,74
,"33 충청북도",12,12,3,3,9,9,2,2,154,154,14,14,89,89,51,51
,"34 충청남도",16,16,7,7,9,9,2,2,211,211,25,25,146,146,40,40
,"35 전라북도",14,14,6,6,8,8,2,2,241,241,14,14,145,145,82,82
,"36 전라남도",22,22,5,5,17,17,0,0,295,295,31,31,198,198,66,66
,"37 경상북도",23,23,10,10,13,13,2,2,331,331,36,36,202,202,93,93
,"38 경상남도",20,20,10,10,10,10,0,0,320,320,20,20,177,177,123,123
,"39 제주도",0,0,2,2,0,0,0,0,43,43,7,7,5,5,31,31
,"* 비자치구(일반시에 소속된 구)는 집계에서 제외하였으며 갯수는 기입되어 있음(파란색 아미부분)",,,,,,,,,,,,,,,,
,,,,,,,"전국 행정구역 현황",,,,,,,,,,
,"    (2009. 7. 1 현재)",,,,,,,,,,,,,,,,
,,"계",,"시",,"군",,"구",,"계",,"읍",,"면",,"동",
,,"2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년"
,,"7. 1","4. 1","7. 1","4. 1","7. 1","4. 1","7. 1","4. 1","7. 1","4. 1","7. 1","4. 1","7. 1","4. 1","7. 1","4. 1"
,"총계",230,230,75,75,86,86,69,69,3462,3469,212,211,1195,1196,2055,2062
,"특별.광역시계",74,74,0,0,5,5,69,69,1145,1153,10,10,36,36,1099,1107
,"11 서울특별시",25,25,0,0,0,0,25,25,424,432,0,0,0,0,424,432
,"21 부산광역시",16,16,0,0,1,1,15,15,215,215,2,2,3,3,210,210
,"22 대구광역시",8,8,0,0,1,1,7,7,143,143,3,3,6,6,134,134
,"23 인천광역시",10,10,0,0,2,2,8,8,140,140,1,1,19,19,120,120
,"24 광주광역시",5,5,0,0,0,0,5,5,91,91,0,0,0,0,91,91
,"25 대전광역시",5,5,0,0,0,0,5,5,76,76,0,0,0,0,76,76
,"26 울산광역시",5,5,0,0,1,1,4,4,56,56,4,4,8,8,44,44
,"도계",156,156,75,75,81,81,28,28,2317,2316,202,201,1159,1160,956,955
,"31 경기도",31,31,27,27,4,4,20,20,535,534,31,31,108,108,396,395
,"32 강원도",18,18,7,7,11,11,0,0,187,187,24,24,89,89,74,74
,"33 충청북도",12,12,3,3,9,9,2,2,154,154,14,14,89,89,51,51
,"34 충청남도",16,16,7,7,9,9,2,2,211,211,25,24,146,147,40,40
,"35 전라북도",14,14,6,6,8,8,2,2,241,241,14,14,145,145,82,82
,"36 전라남도",22,22,5,5,17,17,0,0,295,295,31,31,198,198,66,66
,"37 경상북도",23,23,10,10,13,13,2,2,331,331,36,36,202,202,93,93
,"38 경상남도",20,20,10,10,10,10,0,0,320,320,20,20,177,177,123,123
,"39 제주도",0,0,2,2,0,0,0,0,43,43,7,7,5,5,31,31
,"* 비자치구(일반시에 소속된 구)는 집계에서 제외하였으며 갯수는 기입되어 있음(파란색 아미부분)",,,,,,,,,,,,,,,,
,,,,,,,"전국 행정구역 현황",,,,,,,,,,
,"    (2009. 4. 1 현재)",,,,,,,,,,,,,,,,
,,"계",,"시",,"군",,"구",,"계",,"읍",,"면",,"동",
,,"2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년","2009년"
,,"4. 1","1. 1","4. 1","1. 1","4. 1","1. 1","4. 1","1. 1","4. 1","1. 1","4. 1","1. 1","4. 1","1. 1","4. 1","1. 1"
,"총계",230,230,75,75,86,86,69,69,3469,3478,211,211,1196,1196,2062,2071
,"특별.광역시계",74,74,0,0,5,5,69,69,1153,1160,10,10,36,36,1107,1114
,"11 서울특별시",25,25,0,0,0,0,25,25,432,436,0,0,0,0,432,436
,"21 부산광역시",16,16,0,0,1,1,15,15,215,215,2,2,3,3,210,210
,"22 대구광역시",8,8,0,0,1,1,7,7,143,143,3,3,6,6,134,134
,"23 인천광역시",10,10,0,0,2,2,8,8,140,143,1,1,19,19,120,123
,"24 광주광역시",5,5,0,0,0,0,5,5,91,91,0,0,0,0,91,91
,"25 대전광역시",5,5,0,0,0,0,5,5,76,76,0,0,0,0,76,76
,"26 울산광역시",5,5,0,0,1,1,4,4,56,56,4,4,8,8,44,44
,"도계",156,156,75,75,81,81,28,28,2316,2318,201,201,1160,1160,955,957
,"31 경기도",31,31,27,27,4,4,20,20,534,534,31,31,108,108,395,395
,"32 강원도",18,18,7,7,11,11,0,0,187,187,24,24,89,89,74,74
,"33 충청북도",12,12,3,3,9,9,2,2,154,154,14,14,89,89,51,51
,"34 충청남도",16,16,7,7,9,9,2,2,211,211,24,24,147,147,40,40
,"35 전라북도",14,14,6,6,8,8,2,2,241,241,14,14,145,145,82,82
,"36 전라남도",22,22,5,5,17,17,0,0,295,295,31,31,198,198,66,66
,"37 경상북도",23,23,10,10,13,13,2,2,331,333,36,36,202,202,93,95
,"38 경상남도",20,20,10,10,10,10,0,0,320,320,20,20,177,177,123,123
,"39 제주도",0,0,2,2,0,0,0,0,43,43,7,7,5,5,31,31
,"* 비자치구(일반시에 소속된 구)는 집계에서 제외하였으며 갯수는 기입되어 있음(파란색 아미부분)",,,,,,,,,,,,,,,,
,,,,,,,"전국 행정구역 현황",,,,,,,,,,
,"    (2009. 1. 1 현재)",,,,,,,,,,,,,,,,
,,"계",,"시",,"군",,"구",,"계",,"읍",,"면",,"동",
,,"2009년","2008년","2009년","2008년","2009년","2008년","2009년","2008년","2009년","2008년","2009년","2008년","2009년","2008년","2009년","2008년"
,,"1. 1","10. 1","1. 1","10. 1","1. 1","10. 1","1. 1","10. 1","1. 1","10. 1","1. 1","10. 1","1. 1","10. 1","1. 1","10. 1"
,"총계",230,230,75,75,86,86,69,69,3478,3491,211,211,1196,1196,2071,2084
,"특별.광역시계",74,74,0,0,5,5,69,69,1160,1169,10,10,36,36,1114,1123
,"11 서울특별시",25,25,0,0,0,0,25,25,436,441,0,0,0,0,436,441
,"21 부산광역시",16,16,0,0,1,1,15,15,215,217,2,2,3,3,210,212
,"22 대구광역시",8,8,0,0,1,1,7,7,143,143,3,3,6,6,134,134
,"23 인천광역시",10,10,0,0,2,2,8,8,143,143,1,1,19,19,123,123
,"24 광주광역시",5,5,0,0,0,0,5,5,91,91,0,0,0,0,91,91
,"25 대전광역시",5,5,0,0,0,0,5,5,76,76,0,0,0,0,76,76
,"26 울산광역시",5,5,0,0,1,1,4,4,56,58,4,4,8,8,44,46
,"도계",156,156,75,75,81,81,28,28,2318,2322,201,201,1160,1160,957,961
,"31 경기도",31,31,27,27,4,4,20,20,534,533,31,31,108,108,395,394
,"32 강원도",18,18,7,7,11,11,0,0,187,187,24,24,89,89,74,74
,"33 충청북도",12,12,3,3,9,9,2,2,154,154,14,14,89,89,51,51
,"34 충청남도",16,16,7,7,9,9,2,2,211,212,24,24,147,147,40,41
,"35 전라북도",14,14,6,6,8,8,2,2,241,241,14,14,145,145,82,82
,"36 전라남도",22,22,5,5,17,17,0,0,295,295,31,31,198,198,66,66
,"37 경상북도",23,23,10,10,13,13,2,2,333,337,36,36,202,202,95,99
,"38 경상남도",20,20,10,10,10,10,0,0,320,320,20,20,177,177,123,123
,"39 제주도",0,0,2,2,0,0,0,0,43,43,7,7,5,5,31,31
,"* 비자치구(일반시에 소속된 구)는 집계에서 제외하였으며 갯수는 기입되어 있음(파란색 아미부분)",,,,,,,,,,,,,,,,
,,,,,,,"전국 행정구역 현황",,,,,,,,,,
,"    (2008. 10. 1 현재)",,,,,,,,,,,,,,,,
,,"계",,"시",,"군",,"구",,"계",,"읍",,"면",,"동",
,,"2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년"
,,"10. 1","7. 1","10. 1","7. 1","10. 1","7. 1","10. 1","7. 1","10. 1","7. 1","10. 1","7. 1","10. 1","7. 1","10. 1","7. 1"
,"총계",230,230,75,75,86,86,69,69,3491,3521,211,211,1196,1196,2084,2114
,"특별.광역시계",74,74,0,0,5,5,69,69,1169,1198,10,10,36,36,1123,1152
,"11 서울특별시",25,25,0,0,0,0,25,25,441,465,0,0,0,0,441,465
,"21 부산광역시",16,16,0,0,1,1,15,15,217,217,2,2,3,3,212,212
,"22 대구광역시",8,8,0,0,1,1,7,7,143,143,3,3,6,6,134,134
,"23 인천광역시",10,10,0,0,2,2,8,8,143,143,1,1,19,19,123,123
,"24 광주광역시",5,5,0,0,0,0,5,5,91,91,0,0,0,0,91,91
,"25 대전광역시",5,5,0,0,0,0,5,5,76,81,0,0,0,0,76,81
,"26 울산광역시",5,5,0,0,1,1,4,4,58,58,4,4,8,8,46,46
,"도계",156,156,75,75,81,81,28,28,2322,2323,201,201,1160,1160,961,962
,"31 경기도",31,31,27,27,4,4,20,20,533,533,31,31,108,108,394,394
,"32 강원도",18,18,7,7,11,11,0,0,187,187,24,24,89,89,74,74
,"33 충청북도",12,12,3,3,9,9,2,2,154,154,14,14,89,89,51,51
,"34 충청남도",16,16,7,7,9,9,2,2,212,212,24,24,147,147,41,41
,"35 전라북도",14,14,6,6,8,8,2,2,241,241,14,14,145,145,82,82
,"36 전라남도",22,22,5,5,17,17,0,0,295,295,31,31,198,198,66,66
,"37 경상북도",23,23,10,10,13,13,2,2,337,338,36,36,202,202,99,100
,"38 경상남도",20,20,10,10,10,10,0,0,320,320,20,20,177,177,123,123
,"39 제주도",0,0,2,2,0,0,0,0,43,43,7,7,5,5,31,31
,"* 비자치구(일반시에 소속된 구)는 집계에서 제외하였으며 갯수는 기입되어 있음(파란색 아미부분)",,,,,,,,,,,,,,,,
,,,,,,,"전국 행정구역 현황",,,,,,,,,,
,"    (2008. 7. 1 현재)",,,,,,,,,,,,,,,,
,,"계",,"시",,"군",,"구",,"계",,"읍",,"면",,"동",
,,"2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년","2008년"
,,"7. 1","4. 1","7. 1","4. 1","7. 1","4. 1","7. 1","4. 1","7. 1","4. 1","7. 1","4. 1","7. 1","4. 1","7. 1","4. 1"
,"총계",230,230,75,75,86,86,69,69,3521,3543,211,212,1196,1197,2114,2134
,"특별.광역시계",74,74,0,0,5,5,69,69,1198,1222,10,10,36,36,1152,1176
,"11 서울특별시",25,25,0,0,0,0,25,25,465,489,0,0,0,0,465,489
